"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",192,0
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",160182,106774
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",53106,22078
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",61,0
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",5628,2440
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",425,2
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",13340,7592
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",152,0
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",5629,2724
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",1270,6
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",10181,6529
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",48578,21367
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",483,0
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",14895,8994
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",3777,3166
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",152,0
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",10697,4333
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",1651,0
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",6682,2206
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",201,0
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",6299,2684
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",147,1
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",15632,9878
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",2043,2
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",9198,4938
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",2544,0
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",11515,3530
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",1533,0
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",11131,4425
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",2421,0
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",18089,7698
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",7800,3723
"74","San Luis","COVISHIELD ChAdOx1nCoV COVID 19",205,0
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",7674,2848
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",306,0
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",6096,2167
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",2420,2
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",42521,20908
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",1,0
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",7998,5103
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",2780,1302
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",335,0
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",17424,9641
