"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648158,4022108,832920,1120878
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251404,382,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90270,0,7719,1530,110139
"06","Buenos Aires","Moderna ARNm",0,420367,1246132,3185,3252439
"06","Buenos Aires","Moderna Pediátrica",0,17527,2455,0,3567
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1370239,1445109,77619,5273558
"06","Buenos Aires","Pfizer Pediátrica",0,19340,8530,122803,2
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5950641,5258443,1662,10443
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315637,2692912,6256,854129
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728033,762448,204581,506023
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65650,197,0,0
"02","CABA","Cansino Ad5 nCoV",29831,0,1585,44,50622
"02","CABA","Moderna ARNm",0,32239,274921,1490,1497543
"02","CABA","Moderna Pediátrica",0,5291,1908,0,12077
"02","CABA","Pfizer BioNTech Comirnaty",0,192612,219125,62882,1261301
"02","CABA","Pfizer Pediátrica",0,2436,1891,1566,84930
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1018423,965859,1668,5244
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896561,627382,231,13834
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86652,86541,18029,59258
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4820,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2578,0,1032,328,47668
"10","Catamarca","Moderna ARNm",0,7647,24075,403,96593
"10","Catamarca","Moderna Pediátrica",0,2611,436,0,2639
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33546,30707,863,82882
"10","Catamarca","Pfizer Pediátrica",0,33,55,41,14030
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171136,156539,43,543
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96763,73641,1649,28858
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,240184,220239,29270,91719
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15544,778,0,0
"22","Chaco","Cansino Ad5 nCoV",11263,0,810,212,20830
"22","Chaco","Moderna ARNm",0,30788,68515,1400,120561
"22","Chaco","Moderna Pediátrica",0,2176,351,0,1694
"22","Chaco","Pfizer BioNTech Comirnaty",0,68607,57377,7795,144393
"22","Chaco","Pfizer Pediátrica",0,729,257,198,3302
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",0,390753,309750,445,3031
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",0,258218,181752,4471,54470
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",0,132816,128678,20527,45741
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",0,11933,661,0,0
"26","Chubut","Cansino Ad5 nCoV",3583,0,363,52,5745
"26","Chubut","Moderna ARNm",0,20716,33354,1220,58949
"26","Chubut","Moderna Pediátrica",0,220,26,0,166
"26","Chubut","Pfizer BioNTech Comirnaty",0,33219,39635,4516,129996
"26","Chubut","Pfizer Pediátrica",0,417,168,27,2172
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",0,172932,141447,174,804
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",0,136787,100159,905,15166
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",0,194100,185865,17689,158743
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",0,19885,489,0,0
"18","Corrientes","Cansino Ad5 nCoV",11250,0,279,71,39106
"18","Corrientes","Moderna ARNm",0,27844,62050,393,196810
"18","Corrientes","Moderna Pediátrica",0,5915,954,0,2534
"18","Corrientes","Pfizer BioNTech Comirnaty",0,83245,81143,1794,258990
"18","Corrientes","Pfizer Pediátrica",0,301,215,258,35879
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",0,428567,367806,66,2414
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",0,268466,194718,16,48419
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",0,809219,824866,184039,658253
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",0,44130,128,0,0
"14","Córdoba","Cansino Ad5 nCoV",38336,0,5742,33,11357
"14","Córdoba","Moderna ARNm",0,48161,265325,36,637443
"14","Córdoba","Moderna Pediátrica",0,2889,475,0,1823
"14","Córdoba","Pfizer BioNTech Comirnaty",0,283170,257502,16579,707354
"14","Córdoba","Pfizer Pediátrica",0,1619,942,149,21024
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",0,1252870,1137740,516,8414
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",0,940014,627662,4079,98586
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",0,292017,287390,72091,178517
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",0,17379,368,0,0
"30","Entre Ríos","Cansino Ad5 nCoV",14023,0,497,14,5085
"30","Entre Ríos","Moderna ARNm",0,23782,85865,217,190922
"30","Entre Ríos","Moderna Pediátrica",0,1307,259,0,1299
"30","Entre Ríos","Pfizer BioNTech Comirnaty",0,97973,86136,7714,245034
"30","Entre Ríos","Pfizer Pediátrica",0,218,111,46,13918
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",0,483498,428780,304,1461
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",0,325128,233507,3780,86896
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",0,129550,156223,231065,77056
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",0,7391,8,0,0
"34","Formosa","Cansino Ad5 nCoV",7291,0,0,13,4775
"34","Formosa","Moderna ARNm",0,40586,9129,155,108826
"34","Formosa","Moderna Pediátrica",0,2119,241,0,1098
"34","Formosa","Pfizer BioNTech Comirnaty",0,26520,56083,21470,82261
"34","Formosa","Pfizer Pediátrica",0,27,82,113,11314
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",0,235339,210406,372,445
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",0,138018,89193,2986,10069
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",0,165382,159331,31957,52585
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",0,14041,293,0,0
"38","Jujuy","Cansino Ad5 nCoV",1714,0,1682,36,32401
"38","Jujuy","Moderna ARNm",0,26445,41671,1542,130788
"38","Jujuy","Moderna Pediátrica",0,1904,215,0,625
"38","Jujuy","Pfizer BioNTech Comirnaty",0,58000,71922,14714,151247
"38","Jujuy","Pfizer Pediátrica",0,2484,795,160,12027
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",0,278687,218735,439,1309
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",0,154333,125490,12804,38841
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",0,69355,76607,37259,45543
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",0,4588,0,0,0
"42","La Pampa","Cansino Ad5 nCoV",2907,0,0,0,3234
"42","La Pampa","Moderna ARNm",0,6273,26062,0,96142
"42","La Pampa","Moderna Pediátrica",0,329,90,0,1431
"42","La Pampa","Pfizer BioNTech Comirnaty",0,27725,27389,4686,140399
"42","La Pampa","Pfizer Pediátrica",0,194,110,0,5669
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",0,135994,130867,0,7
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",0,89557,62012,330,20179
"46","La Rioja","AstraZeneca ChAdOx1 S recombinante",0,78765,79551,21300,30478
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",0,7269,125,0,0
"46","La Rioja","Cansino Ad5 nCoV",3153,0,50,0,4392
"46","La Rioja","Moderna ARNm",0,10406,26752,1892,76519
"46","La Rioja","Moderna Pediátrica",0,674,60,0,561
"46","La Rioja","Pfizer BioNTech Comirnaty",0,30315,35326,10362,103508
"46","La Rioja","Pfizer Pediátrica",0,51,50,423,5593
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",0,140569,126041,56,435
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",0,95101,70056,4327,29271
"50","Mendoza","AstraZeneca ChAdOx1 S recombinante",0,442016,432175,43464,289076
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",0,25667,470,0,0
"50","Mendoza","Cansino Ad5 nCoV",11500,0,1822,52,41649
"50","Mendoza","Moderna ARNm",0,30311,142768,185,215994
"50","Mendoza","Moderna Pediátrica",0,3311,535,0,3716
"50","Mendoza","Pfizer BioNTech Comirnaty",0,151617,153128,6847,392161
"50","Mendoza","Pfizer Pediátrica",0,3934,862,40,17346
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",0,614404,524630,297,2178
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",0,473477,301005,3161,119696
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",0,227939,241859,87980,62774
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",0,16862,819,0,0
"54","Misiones","Cansino Ad5 nCoV",7623,0,97,49,753
"54","Misiones","Moderna ARNm",0,42830,55661,1049,19461
"54","Misiones","Moderna Pediátrica",0,1034,128,0,266
"54","Misiones","Pfizer BioNTech Comirnaty",0,61127,62234,15127,134882
"54","Misiones","Pfizer Pediátrica",0,1932,568,142,1779
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",0,348789,275912,1079,5112
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",0,257847,175393,27761,52683
"58","Neuquén","AstraZeneca ChAdOx1 S recombinante",0,142516,146439,24468,72446
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",0,12837,67,0,0
"58","Neuquén","Cansino Ad5 nCoV",10527,0,2420,1,56765
"58","Neuquén","Moderna ARNm",0,13807,44434,67,81225
"58","Neuquén","Moderna Pediátrica",0,532,81,0,432
"58","Neuquén","Pfizer BioNTech Comirnaty",0,50740,47128,3339,127042
"58","Neuquén","Pfizer Pediátrica",0,328,153,17,2787
"58","Neuquén","Sinopharm Vacuna SARSCOV 2 inactivada",0,235849,210892,87,553
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",0,172984,125428,1718,56120
"62","Río Negro","AstraZeneca ChAdOx1 S recombinante",0,147332,155826,38873,62765
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",0,14012,93,0,0
"62","Río Negro","Cansino Ad5 nCoV",4114,0,634,42,12209
"62","Río Negro","Moderna ARNm",0,11345,52957,6624,116266
"62","Río Negro","Moderna Pediátrica",0,762,134,0,732
"62","Río Negro","Pfizer BioNTech Comirnaty",0,55502,53381,26623,145227
"62","Río Negro","Pfizer Pediátrica",0,749,273,16,3250
"62","Río Negro","Sinopharm Vacuna SARSCOV 2 inactivada",0,277458,244946,589,1842
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",0,177592,117965,16149,37483
"66","Salta","AstraZeneca ChAdOx1 S recombinante",0,311671,276146,23083,25679
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",0,17987,69,0,0
"66","Salta","Cansino Ad5 nCoV",3897,0,257,476,8500
"66","Salta","Moderna ARNm",0,35630,97956,4505,230954
"66","Salta","Moderna Pediátrica",0,3414,429,0,3741
"66","Salta","Pfizer BioNTech Comirnaty",0,104564,110572,17422,279756
"66","Salta","Pfizer Pediátrica",0,3247,996,57,6863
"66","Salta","Sinopharm Vacuna SARSCOV 2 inactivada",0,417457,338112,277,1076
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",0,300199,206235,10559,58167
"70","San Juan","AstraZeneca ChAdOx1 S recombinante",0,157653,165531,24464,55926
"70","San Juan","COVISHIELD ChAdOx1nCoV COVID 19",0,8866,13,0,0
"70","San Juan","Cansino Ad5 nCoV",7277,0,1218,362,32056
"70","San Juan","Moderna ARNm",0,19124,44128,665,89042
"70","San Juan","Moderna Pediátrica",0,1333,187,0,840
"70","San Juan","Pfizer BioNTech Comirnaty",0,58622,52481,7353,131465
"70","San Juan","Pfizer Pediátrica",0,530,294,2,8745
"70","San Juan","Sinopharm Vacuna SARSCOV 2 inactivada",0,263081,236914,53,414
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",0,197683,137006,6125,52997
"74","San Luis","AstraZeneca ChAdOx1 S recombinante",0,99367,106947,37240,55023
"74","San Luis","COVISHIELD ChAdOx1nCoV COVID 19",0,6829,0,0,0
"74","San Luis","Cansino Ad5 nCoV",6214,0,935,1,30694
"74","San Luis","Moderna ARNm",0,9113,32059,430,137660
"74","San Luis","Moderna Pediátrica",0,304,32,0,1534
"74","San Luis","Pfizer BioNTech Comirnaty",0,38639,37121,12270,175310
"74","San Luis","Pfizer Pediátrica",0,108,50,4,16398
"74","San Luis","Sinopharm Vacuna SARSCOV 2 inactivada",0,174377,165662,22,438
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",0,126858,93031,306,29876
"78","Santa Cruz","AstraZeneca ChAdOx1 S recombinante",0,65246,65088,8994,31006
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",0,6007,729,0,0
"78","Santa Cruz","Cansino Ad5 nCoV",2344,0,86,1,2623
"78","Santa Cruz","Moderna ARNm",0,9611,20034,121,41809
"78","Santa Cruz","Moderna Pediátrica",0,330,51,0,288
"78","Santa Cruz","Pfizer BioNTech Comirnaty",0,24231,25929,7684,66487
"78","Santa Cruz","Pfizer Pediátrica",0,109,63,11,2975
"78","Santa Cruz","Sinopharm Vacuna SARSCOV 2 inactivada",0,106145,93445,80,629
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",0,91619,68916,3135,23660
"82","Santa Fe","AstraZeneca ChAdOx1 S recombinante",0,761839,774965,248704,287850
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",0,41487,58,0,0
"82","Santa Fe","Cansino Ad5 nCoV",26551,0,179,29,2107
"82","Santa Fe","Moderna ARNm",0,45565,254811,14226,1142092
"82","Santa Fe","Moderna Pediátrica",0,3753,505,0,4031
"82","Santa Fe","Pfizer BioNTech Comirnaty",0,269063,261967,133666,1009152
"82","Santa Fe","Pfizer Pediátrica",0,518,260,1225,23424
"82","Santa Fe","Sinopharm Vacuna SARSCOV 2 inactivada",0,1180996,1099241,650,2979
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",0,921743,648238,7666,122924
"86","Santiago del Estero","AstraZeneca ChAdOx1 S recombinante",0,212006,211746,49262,120473
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",0,11967,1314,0,0
"86","Santiago del Estero","Cansino Ad5 nCoV",17393,0,971,5207,75072
"86","Santiago del Estero","Moderna ARNm",0,11572,72359,1596,180648
"86","Santiago del Estero","Moderna Pediátrica",0,2288,358,0,3063
"86","Santiago del Estero","Pfizer BioNTech Comirnaty",0,97020,90968,3754,124053
"86","Santiago del Estero","Pfizer Pediátrica",0,80,70,34,18006
"86","Santiago del Estero","Sinopharm Vacuna SARSCOV 2 inactivada",1,398372,369942,316,1281
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",0,229204,157028,14758,61602
"94","Tierra del Fuego","AstraZeneca ChAdOx1 S recombinante",0,35154,35548,6892,21399
"94","Tierra del Fuego","COVISHIELD ChAdOx1nCoV COVID 19",0,2740,758,0,0
"94","Tierra del Fuego","Cansino Ad5 nCoV",347,0,125,17,3115
"94","Tierra del Fuego","Moderna ARNm",0,2284,12554,210,24883
"94","Tierra del Fuego","Moderna Pediátrica",0,130,25,0,272
"94","Tierra del Fuego","Pfizer BioNTech Comirnaty",0,14484,13637,944,32470
"94","Tierra del Fuego","Pfizer Pediátrica",0,104,37,10,2983
"94","Tierra del Fuego","Sinopharm Vacuna SARSCOV 2 inactivada",0,58399,53505,24,182
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",0,44863,30837,539,7473
"90","Tucumán","AstraZeneca ChAdOx1 S recombinante",0,352872,331662,43762,189846
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",0,20628,86,0,0
"90","Tucumán","Cansino Ad5 nCoV",7710,0,62,1410,17946
"90","Tucumán","Moderna ARNm",0,34100,107841,21453,211483
"90","Tucumán","Moderna Pediátrica",0,544,106,0,365
"90","Tucumán","Pfizer BioNTech Comirnaty",0,118515,101689,246,157182
"90","Tucumán","Pfizer Pediátrica",0,2091,483,2645,33532
"90","Tucumán","Sinopharm Vacuna SARSCOV 2 inactivada",0,537984,474423,3,579
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",0,431398,324931,4078,78139
